id,name,quantity_stock,price,description,thumbnail_url,vendor_id,image_url1,image_url2,image_url3,image_url4
11,Best Friends By Sheri OrthoComfort Deep Dish Cuddler,800,25,A charming animal world is already waiting for you! Little hearts of those animals we take care of are able to warm us and hide from sad thoughts no matter how big our pets are....,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/best_friends_by_sheri_orthoComfort_deep_dish_cuddler_1_640x_crop_top.jpg?v=1625752589,2,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/best_friends_by_sheri_orthoComfort_deep_dish_cuddler_1_640x_crop_top.jpg?v=1625752589,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/best_friends_by_sheri_orthoComfort_deep_dish_cuddler_2_640x_crop_top.jpg?v=1625752589,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/best_friends_by_sheri_orthoComfort_deep_dish_cuddler_3_640x_crop_top.jpg?v=1625752589,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/best_friends_by_sheri_orthoComfort_deep_dish_cuddler_4_640x_crop_top.jpg?v=1625752589
12,Halo Pet Microchip Scanner,880,18,"The Halo Pet Microchip Scanner is an essential tool for pet owners and professionals. This handheld device can read and verify microchip information, helping you locate lost pets and ensure their safety. With its user-friendly interface and compact design, it's easy to use and carry. Make pet care a breeze with this reliable scanner.",https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/halo_pet_microchip_scanner_mid06_pink_in_a_carry_case_with_car_charger_1_640x_crop_top.png?v=1625752570,3,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/halo_pet_microchip_scanner_mid06_pink_in_a_carry_case_with_car_charger_1_640x_crop_top.png?v=1625752570,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/halo_pet_microchip_scanner_mid06_pink_in_a_carry_case_with_car_charger_2_640x_crop_top.png?v=1625752570,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/halo_pet_microchip_scanner_mid06_pink_in_a_carry_case_with_car_charger_3_640x_crop_top.png?v=1625752570,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/halo_pet_microchip_scanner_mid06_pink_in_a_carry_case_with_car_charger_4_640x_crop_top.png?v=1625752570
13,Hing Designs The Bone Bowl with Non Slip Rubber Feet and Dishwasher Safe Removable Stainless Steel Bowls Pink,990,16,"The Hing Designs Bone Bowl is both functional and stylish. Its unique bone-shaped design adds a touch of fun to your pet's mealtime. The non-slip rubber feet keep the bowl in place, and the stainless steel bowls are easy to remove and dishwasher-safe, ensuring a hygienic eating experience for your pet.",https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/hing_designs_the_bone_bowl_with_non_slip_rubber_feet_and_dishwasher_safe_removable_stainless_steel_bowls_pink_1_640x_crop_top.png?v=1625752547,1,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/hing_designs_the_bone_bowl_with_non_slip_rubber_feet_and_dishwasher_safe_removable_stainless_steel_bowls_pink_1_640x_crop_top.png?v=1625752547,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/hing_designs_the_bone_bowl_with_non_slip_rubber_feet_and_dishwasher_safe_removable_stainless_steel_bowls_pink_2_640x_crop_top.png?v=1625752547,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/hing_designs_the_bone_bowl_with_non_slip_rubber_feet_and_dishwasher_safe_removable_stainless_steel_bowls_pink_3_640x_crop_top.png?v=1625752547,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/hing_designs_the_bone_bowl_with_non_slip_rubber_feet_and_dishwasher_safe_removable_stainless_steel_bowls_pink_4_640x_crop_top.png?v=1625752547
14,Waterproof Non Slip Fda Grade Silicone Cat Pet Bowl Feeding Placemat,809,17,"This FDA-grade silicone placemat is a must-have for pet owners. It's waterproof and non-slip, protecting your floors from spills and messes during mealtime. The high-quality silicone material is safe for pets, and the mat is easy to clean, making your life easier.",https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/waterproof_non_slip_fda_grade_silicone_cat_pet_bowl_feeding_placemat_1_640x_crop_top.jpg?v=1625752595,2,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/waterproof_non_slip_fda_grade_silicone_cat_pet_bowl_feeding_placemat_1_640x_crop_top.jpg?v=1625752595,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/waterproof_non_slip_fda_grade_silicone_cat_pet_bowl_feeding_placemat_2_640x_crop_top.jpg?v=1625752595,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/waterproof_non_slip_fda_grade_silicone_cat_pet_bowl_feeding_placemat_3_640x_crop_top.jpg?v=1625752595,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/waterproof_non_slip_fda_grade_silicone_cat_pet_bowl_feeding_placemat_4_640x_crop_top.jpg?v=1625752595
15,Wrapok Compostable Dog Poop Bags,700,20,"When it comes to pet waste disposal, choose Wrapok Compostable Dog Poop Bags. These eco-friendly bags are made from compostable materials, reducing your environmental footprint. They are strong, leak-proof, and easy to tie securely. Responsible pet ownership meets sustainability with these bags.",https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/wrapok_compostable_dog_poop_bags_1_640x_crop_top.jpg?v=1625752537,3,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/wrapok_compostable_dog_poop_bags_1_640x_crop_top.jpg?v=1625752537,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/wrapok_compostable_dog_poop_bags_2_640x_crop_top.jpg?v=1625752537,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/wrapok_compostable_dog_poop_bags_3_640x_crop_top.jpg?v=1625752537,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/wrapok_compostable_dog_poop_bags_4_640x_crop_top.jpg?v=1625752537
16,Zehui Pet Dog Cat Sweater Puppy T Shirt Warm Hoodies Coat Clothes Apparel Black S,900,26,"<p>Keep your furry companion warm and stylish with the Zehui Pet Sweater. This black knitted sweater, available in size S, provides warmth and comfort during colder seasons. It's not only functional but also adds a fashionable touch to your pet's wardrobe. Dress your pet in comfort and style with this adorable hoodie.</p>",https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/zehui_pet_dog_cat_sweater_puppy_t_shirt_warm_hoodies_coat_clothes_apparel_black_s_1_640x_crop_top.png?v=1625752530,1,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/zehui_pet_dog_cat_sweater_puppy_t_shirt_warm_hoodies_coat_clothes_apparel_black_s_1_640x_crop_top.png?v=1625752530,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/zehui_pet_dog_cat_sweater_puppy_t_shirt_warm_hoodies_coat_clothes_apparel_black_s_2_640x_crop_top.png?v=1625752530,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/zehui_pet_dog_cat_sweater_puppy_t_shirt_warm_hoodies_coat_clothes_apparel_black_s_3_640x_crop_top.png?v=1625752530,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/zehui_pet_dog_cat_sweater_puppy_t_shirt_warm_hoodies_coat_clothes_apparel_black_s_4_640x_crop_top.png?v=1625752530
17,Zehui Pet Dog Cat Sweater Puppy T Shirt Warm Hoodies Coat Clothes Apparel Black S,900,26,"<p>Keep your furry companion warm and stylish with the Zehui Pet Sweater. This black knitted sweater, available in size S, provides warmth and comfort during colder seasons. It's not only functional but also adds a fashionable touch to your pet's wardrobe. ...</p>",https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/zehui_pet_dog_cat_sweater_puppy_t_shirt_warm_hoodies_coat_clothes_apparel_black_s_1_640x_crop_top.png?v=1625752530,1,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/wrapok_compostable_dog_poop_bags_1_640x_crop_top.jpg?v=1625752537,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/wrapok_compostable_dog_poop_bags_2_640x_crop_top.jpg?v=1625752537,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/wrapok_compostable_dog_poop_bags_3_640x_crop_top.jpg?v=1625752537,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/wrapok_compostable_dog_poop_bags_4_640x_crop_top.jpg?v=1625752537
18,Zehui Pet Dog Cat Sweater Puppy T Shirt Warm Hoodies Coat Clothes Apparel Black S,900,26,"Keep your furry companion warm and stylish with the Zehui Pet Sweater. This black knitted sweater, available in size S, provides warmth and comfort during colder seasons. It's not only functional but also adds a fashionable touch to your pet's wardrobe. ...",https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/zehui_pet_dog_cat_sweater_puppy_t_shirt_warm_hoodies_coat_clothes_apparel_black_s_3_640x_crop_top.png?v=1625752530,1,https://res.cloudinary.com/dz7esq8ou/image/upload/v1699456983/project_module_4_uploads/file_d3uhdm.jpg,https://res.cloudinary.com/dz7esq8ou/image/upload/v1699457395/project_module_4_uploads/file_xpj15c.jpg,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/zehui_pet_dog_cat_sweater_puppy_t_shirt_warm_hoodies_coat_clothes_apparel_black_s_3_640x_crop_top.png?v=1625752530,https://tm-shopify037-clothes.myshopify.com/cdn/shop/products/zehui_pet_dog_cat_sweater_puppy_t_shirt_warm_hoodies_coat_clothes_apparel_black_s_4_640x_crop_top.png?v=1625752530
21,Test,24,5,<p>Test</p>,https://res.cloudinary.com/dz7esq8ou/image/upload/v1699458189/project_module_4_uploads/file_srxiju.jpg,1,https://res.cloudinary.com/dz7esq8ou/image/upload/v1699458189/project_module_4_uploads/file_srxiju.jpg,https://res.cloudinary.com/dz7esq8ou/image/upload/v1699458189/project_module_4_uploads/file_wnuump.jpg,https://res.cloudinary.com/dz7esq8ou/image/upload/v1699458189/project_module_4_uploads/file_ecmaob.jpg,https://res.cloudinary.com/dz7esq8ou/image/upload/v1699458188/project_module_4_uploads/file_djl1cb.jpg
22,Test 2,23,23,<p>Test 2</p>,https://res.cloudinary.com/dz7esq8ou/image/upload/v1699458370/project_module_4_uploads/file_ozeriz.jpg,1,https://res.cloudinary.com/dz7esq8ou/image/upload/v1699458370/project_module_4_uploads/file_ozeriz.jpg,https://res.cloudinary.com/dz7esq8ou/image/upload/v1699458370/project_module_4_uploads/file_ncpxvc.jpg,https://res.cloudinary.com/dz7esq8ou/image/upload/v1699458370/project_module_4_uploads/file_lfvhrk.jpg,https://res.cloudinary.com/dz7esq8ou/image/upload/v1699458369/project_module_4_uploads/file_qpbhbs.jpg
